,Title,Published_date,Views,Likes,Comments,Month
0,1/15 Putnam Postgame Report: Bounce Back Win,2022-01-16,719,62,0,Jan
1,1/14 Putnam Postgame Report: First-Quarter Mishaps,2022-01-15,606,32,9,Jan
2,1/12 Putnam Postgame Report: Complimenting Each Other,2022-01-13,1370,93,9,Jan
3,1/10 Putnam Postgame Report: ‘I’m a Big Rob Fan’,2022-01-11,931,58,0,Jan
4,1/8 Putnam Postgame Report: Mr. Triple-Double,2022-01-09,1230,64,12,Jan
5,1/6 Putnam Postgame Report: ‘Finding Our Grit’,2022-01-07,644,30,30,Jan
6,1/5 Putnam Postgame Report: ‘We Became Stagnant’,2022-01-06,519,25,0,Jan
7,1/2 Putnam Postgame Report: Brown’s Career Night,2022-01-03,1332,96,10,Jan
8,12/31 Putnam Postgame Report: Triple-Double Performance,2022-01-01,1372,86,11,Jan
9,12/29 Putnam Postgame Report: 3-Point Struggles,2021-12-30,581,27,22,Dec
10,12/27 Putnam Postgame Report: Second-Half Breakdown,2021-12-28,495,28,0,Dec
11,12/25 Putnam Postgame Report: Bucks Top Celtics,2021-12-26,762,40,0,Dec
12,12/22 Putnam Postgame Report: Welcome Back Joe,2021-12-23,2010,87,9,Dec
13,12/20 Putnam Postgame Report: Celtics Fall Short,2021-12-21,542,19,6,Dec
14,12/18 Putnam Postgame Report: Spark from Richardson,2021-12-19,1133,69,9,Dec
15,12/17 Putnam Postgame Report: Tale of Two Halves,2021-12-18,533,34,0,Dec
16,Bringing New Skills To The Table | Lucky Rooks: Coaches Edition | Episode 2,2021-12-16,846,34,9,Dec
17,Overcoming Injuries and Maintaining A Positive Outlook | Jabari Parker | The Grind,2021-12-15,1536,75,8,Dec
18,12/13 Putnam Postgame Report: Grateful to be Back,2021-12-14,1122,79,6,Dec
19,12/1 Putnam Postgame Report: Holding Off Philly,2021-12-02,1475,76,0,Dec
20,11/28 Putnam Postgame Report: Our Ability to Respond,2021-11-29,1195,72,10,Nov
21,11/26 Putnam Postgame Report: Responding with Urgency,2021-11-27,1313,40,18,Nov
22,11/24 Putnam Postgame Report: Offense Affects Defense,2021-11-25,714,34,7,Nov
23,About The Sun Life Dunk 4 Diabetes Program | How Health Habits Makes An Impact,2021-11-23,286,15,0,Nov
24,11/22 Putnam Postgame Report: Full of Reserves,2021-11-23,1310,75,0,Nov
25,11/20 Putnam Postgame Report: No Falling for the Trap,2021-11-21,1352,91,8,Nov
26,11/19 Putnam Postgame Report: Dominating the Lakers,2021-11-20,5008,107,0,Nov
27,11/17 Putnam Postgame Report: Tatum Finds a Rhythm,2021-11-18,1322,57,9,Nov
28,Sun Life | Dunk 4 Diabetes,2021-11-16,723,35,0,Nov
